image_paths,cluster,dist
../images/DG_Split_jpg/pansharp_25268.JPG,4,458
../images/DG_Split_jpg/pansharp_2408.JPG,1,396
../images/DG_Split_jpg/pansharp_23394.JPG,2,369
../images/DG_Split_jpg/pansharp_26559.JPG,4,316
../images/DG_Split_jpg/pansharp_4734.JPG,1,400
../images/DG_Split_jpg/pansharp_203.JPG,1,423
../images/DG_Split_jpg/pansharp_8960.JPG,6,381
../images/DG_Split_jpg/pansharp_4522.JPG,5,274
../images/DG_Split_jpg/pansharp_23756.JPG,1,327
../images/DG_Split_jpg/pansharp_17361.JPG,6,582
../images/DG_Split_jpg/pansharp_26745.JPG,4,319
../images/DG_Split_jpg/pansharp_7175.JPG,4,380
../images/DG_Split_jpg/pansharp_16913.JPG,3,520
../images/DG_Split_jpg/pansharp_16762.JPG,6,457
../images/DG_Split_jpg/pansharp_13369.JPG,6,385
../images/DG_Split_jpg/pansharp_17865.JPG,7,437
../images/DG_Split_jpg/pansharp_5817.JPG,5,395
../images/DG_Split_jpg/pansharp_9178.JPG,0,362
../images/DG_Split_jpg/pansharp_1198.JPG,3,387
../images/DG_Split_jpg/pansharp_637.JPG,8,388
../images/DG_Split_jpg/pansharp_19859.JPG,0,307
../images/DG_Split_jpg/pansharp_20054.JPG,5,305
../images/DG_Split_jpg/pansharp_13585.JPG,0,397
../images/DG_Split_jpg/pansharp_21091.JPG,3,422
../images/DG_Split_jpg/pansharp_18730.JPG,8,356
../images/DG_Split_jpg/pansharp_1351.JPG,11,388
../images/DG_Split_jpg/pansharp_18656.JPG,0,248
../images/DG_Split_jpg/pansharp_3290.JPG,11,337
../images/DG_Split_jpg/pansharp_4307.JPG,10,243
../images/DG_Split_jpg/pansharp_26176.JPG,2,284
../images/DG_Split_jpg/pansharp_17121.JPG,2,357
../images/DG_Split_jpg/pansharp_7584.JPG,4,357
../images/DG_Split_jpg/pansharp_20323.JPG,11,330
../images/DG_Split_jpg/pansharp_10573.JPG,6,396
../images/DG_Split_jpg/pansharp_24658.JPG,8,398
../images/DG_Split_jpg/pansharp_18542.JPG,2,382
../images/DG_Split_jpg/pansharp_20976.JPG,11,333
../images/DG_Split_jpg/pansharp_16495.JPG,9,408
../images/DG_Split_jpg/pansharp_9117.JPG,1,372
../images/DG_Split_jpg/pansharp_21997.JPG,4,354
../images/DG_Split_jpg/pansharp_21461.JPG,11,257
../images/DG_Split_jpg/pansharp_23728.JPG,9,545
../images/DG_Split_jpg/pansharp_2227.JPG,0,399
../images/DG_Split_jpg/pansharp_5654.JPG,1,490
../images/DG_Split_jpg/pansharp_14636.JPG,4,304
../images/DG_Split_jpg/pansharp_13126.JPG,4,377
../images/DG_Split_jpg/pansharp_7025.JPG,5,373
../images/DG_Split_jpg/pansharp_16807.JPG,5,237
../images/DG_Split_jpg/pansharp_8723.JPG,3,489
../images/DG_Split_jpg/pansharp_12185.JPG,0,364
../images/DG_Split_jpg/pansharp_6902.JPG,0,348
../images/DG_Split_jpg/pansharp_16013.JPG,7,390
../images/DG_Split_jpg/pansharp_21715.JPG,10,25
../images/DG_Split_jpg/pansharp_28303.JPG,4,366
../images/DG_Split_jpg/pansharp_28502.JPG,10,251
../images/DG_Split_jpg/pansharp_25261.JPG,8,408
../images/DG_Split_jpg/pansharp_394.JPG,11,338
../images/DG_Split_jpg/pansharp_27010.JPG,7,313
../images/DG_Split_jpg/pansharp_16647.JPG,5,270
../images/DG_Split_jpg/pansharp_15860.JPG,11,224
../images/DG_Split_jpg/pansharp_7213.JPG,0,368
../images/DG_Split_jpg/pansharp_10528.JPG,1,338
../images/DG_Split_jpg/pansharp_10365.JPG,4,330
../images/DG_Split_jpg/pansharp_21567.JPG,1,358
../images/DG_Split_jpg/pansharp_28823.JPG,10,25
../images/DG_Split_jpg/pansharp_14979.JPG,4,499
../images/DG_Split_jpg/pansharp_4933.JPG,8,421
../images/DG_Split_jpg/pansharp_12793.JPG,8,553
../images/DG_Split_jpg/pansharp_9687.JPG,6,515
../images/DG_Split_jpg/pansharp_27030.JPG,8,503
../images/DG_Split_jpg/pansharp_19731.JPG,11,286
../images/DG_Split_jpg/pansharp_2274.JPG,11,402
../images/DG_Split_jpg/pansharp_20121.JPG,11,344
../images/DG_Split_jpg/pansharp_20640.JPG,5,346
../images/DG_Split_jpg/pansharp_24192.JPG,7,392
../images/DG_Split_jpg/pansharp_10799.JPG,1,441
../images/DG_Split_jpg/pansharp_3972.JPG,2,278
../images/DG_Split_jpg/pansharp_7903.JPG,0,326
../images/DG_Split_jpg/pansharp_24838.JPG,1,280
../images/DG_Split_jpg/pansharp_11885.JPG,4,468
../images/DG_Split_jpg/pansharp_23072.JPG,9,310
../images/DG_Split_jpg/pansharp_28417.JPG,2,320
../images/DG_Split_jpg/pansharp_27050.JPG,4,353
../images/DG_Split_jpg/pansharp_9904.JPG,3,447
../images/DG_Split_jpg/pansharp_27402.JPG,3,383
../images/DG_Split_jpg/pansharp_11774.JPG,5,260
../images/DG_Split_jpg/pansharp_2886.JPG,11,246
../images/DG_Split_jpg/pansharp_6268.JPG,7,420
../images/DG_Split_jpg/pansharp_881.JPG,3,368
../images/DG_Split_jpg/pansharp_24373.JPG,1,333
../images/DG_Split_jpg/pansharp_26744.JPG,11,343
../images/DG_Split_jpg/pansharp_4147.JPG,2,407
../images/DG_Split_jpg/pansharp_8610.JPG,8,467
../images/DG_Split_jpg/pansharp_4089.JPG,11,405
../images/DG_Split_jpg/pansharp_9024.JPG,5,289
../images/DG_Split_jpg/pansharp_28895.JPG,10,25
../images/DG_Split_jpg/pansharp_4735.JPG,4,332
../images/DG_Split_jpg/pansharp_20216.JPG,2,410
../images/DG_Split_jpg/pansharp_6634.JPG,10,25
../images/DG_Split_jpg/pansharp_3720.JPG,11,286
../images/DG_Split_jpg/pansharp_13263.JPG,9,253
../images/DG_Split_jpg/pansharp_7598.JPG,3,397
../images/DG_Split_jpg/pansharp_25133.JPG,9,384
../images/DG_Split_jpg/pansharp_21097.JPG,11,458
../images/DG_Split_jpg/pansharp_1154.JPG,4,374
../images/DG_Split_jpg/pansharp_17574.JPG,0,511
../images/DG_Split_jpg/pansharp_22157.JPG,2,428
../images/DG_Split_jpg/pansharp_1613.JPG,4,380
../images/DG_Split_jpg/pansharp_13322.JPG,3,373
../images/DG_Split_jpg/pansharp_28235.JPG,7,368
../images/DG_Split_jpg/pansharp_12527.JPG,1,400
../images/DG_Split_jpg/pansharp_9759.JPG,1,407
../images/DG_Split_jpg/pansharp_7762.JPG,0,434
../images/DG_Split_jpg/pansharp_19094.JPG,10,225
../images/DG_Split_jpg/pansharp_23686.JPG,0,552
../images/DG_Split_jpg/pansharp_19917.JPG,8,412
../images/DG_Split_jpg/pansharp_20391.JPG,5,349
../images/DG_Split_jpg/pansharp_28470.JPG,10,371
../images/DG_Split_jpg/pansharp_12045.JPG,9,285
../images/DG_Split_jpg/pansharp_22500.JPG,6,430
../images/DG_Split_jpg/pansharp_12065.JPG,9,350
../images/DG_Split_jpg/pansharp_10392.JPG,3,362
../images/DG_Split_jpg/pansharp_10236.JPG,9,366
../images/DG_Split_jpg/pansharp_420.JPG,8,397
../images/DG_Split_jpg/pansharp_9198.JPG,3,315
../images/DG_Split_jpg/pansharp_18795.JPG,6,428
../images/DG_Split_jpg/pansharp_15144.JPG,8,552
../images/DG_Split_jpg/pansharp_4120.JPG,5,349
../images/DG_Split_jpg/pansharp_18888.JPG,9,253
../images/DG_Split_jpg/pansharp_21460.JPG,11,312
../images/DG_Split_jpg/pansharp_3760.JPG,1,312
../images/DG_Split_jpg/pansharp_21692.JPG,6,345
../images/DG_Split_jpg/pansharp_23036.JPG,7,502
../images/DG_Split_jpg/pansharp_14817.JPG,7,267
../images/DG_Split_jpg/pansharp_26300.JPG,11,255
../images/DG_Split_jpg/pansharp_9381.JPG,0,302
../images/DG_Split_jpg/pansharp_4577.JPG,5,390
../images/DG_Split_jpg/pansharp_7281.JPG,3,453
../images/DG_Split_jpg/pansharp_20268.JPG,11,403
../images/DG_Split_jpg/pansharp_14473.JPG,10,25
../images/DG_Split_jpg/pansharp_24435.JPG,1,489
../images/DG_Split_jpg/pansharp_17373.JPG,6,625
../images/DG_Split_jpg/pansharp_19323.JPG,6,479
../images/DG_Split_jpg/pansharp_8666.JPG,1,434
../images/DG_Split_jpg/pansharp_25427.JPG,0,394
../images/DG_Split_jpg/pansharp_1194.JPG,5,283
../images/DG_Split_jpg/pansharp_24855.JPG,0,360
../images/DG_Split_jpg/pansharp_12902.JPG,8,331
../images/DG_Split_jpg/pansharp_19926.JPG,6,539
../images/DG_Split_jpg/pansharp_9942.JPG,11,448
../images/DG_Split_jpg/pansharp_4857.JPG,1,463
../images/DG_Split_jpg/pansharp_12493.JPG,7,529
../images/DG_Split_jpg/pansharp_6124.JPG,8,459
../images/DG_Split_jpg/pansharp_22679.JPG,0,350
../images/DG_Split_jpg/pansharp_25255.JPG,1,435
../images/DG_Split_jpg/pansharp_3024.JPG,1,285
../images/DG_Split_jpg/pansharp_355.JPG,8,318
../images/DG_Split_jpg/pansharp_12823.JPG,7,385
../images/DG_Split_jpg/pansharp_1886.JPG,6,539
../images/DG_Split_jpg/pansharp_19868.JPG,3,466
../images/DG_Split_jpg/pansharp_5175.JPG,2,425
../images/DG_Split_jpg/pansharp_15259.JPG,8,358
../images/DG_Split_jpg/pansharp_19793.JPG,3,561
../images/DG_Split_jpg/pansharp_24793.JPG,7,437
../images/DG_Split_jpg/pansharp_7241.JPG,9,272
../images/DG_Split_jpg/pansharp_28520.JPG,10,25
../images/DG_Split_jpg/pansharp_545.JPG,4,416
../images/DG_Split_jpg/pansharp_11299.JPG,8,270
../images/DG_Split_jpg/pansharp_21280.JPG,0,324
../images/DG_Split_jpg/pansharp_15688.JPG,10,25
../images/DG_Split_jpg/pansharp_10758.JPG,5,219
../images/DG_Split_jpg/pansharp_4549.JPG,2,364
../images/DG_Split_jpg/pansharp_17469.JPG,8,354
../images/DG_Split_jpg/pansharp_2841.JPG,7,411
../images/DG_Split_jpg/pansharp_5993.JPG,7,411
../images/DG_Split_jpg/pansharp_22934.JPG,1,444
../images/DG_Split_jpg/pansharp_13885.JPG,11,294
../images/DG_Split_jpg/pansharp_18235.JPG,0,436
../images/DG_Split_jpg/pansharp_3757.JPG,7,537
../images/DG_Split_jpg/pansharp_10771.JPG,4,309
../images/DG_Split_jpg/pansharp_21185.JPG,3,389
../images/DG_Split_jpg/pansharp_25312.JPG,8,393
../images/DG_Split_jpg/pansharp_13009.JPG,7,393
../images/DG_Split_jpg/pansharp_14892.JPG,4,292
../images/DG_Split_jpg/pansharp_27018.JPG,2,435
../images/DG_Split_jpg/pansharp_11060.JPG,9,369
../images/DG_Split_jpg/pansharp_20371.JPG,6,535
../images/DG_Split_jpg/pansharp_3414.JPG,8,361
../images/DG_Split_jpg/pansharp_24512.JPG,4,237
../images/DG_Split_jpg/pansharp_8243.JPG,10,25
../images/DG_Split_jpg/pansharp_27732.JPG,5,256
../images/DG_Split_jpg/pansharp_24755.JPG,1,378
../images/DG_Split_jpg/pansharp_2061.JPG,11,217
../images/DG_Split_jpg/pansharp_19409.JPG,7,303
../images/DG_Split_jpg/pansharp_3385.JPG,0,408
../images/DG_Split_jpg/pansharp_23571.JPG,2,451
../images/DG_Split_jpg/pansharp_23893.JPG,8,375
../images/DG_Split_jpg/pansharp_11944.JPG,7,380
../images/DG_Split_jpg/pansharp_19189.JPG,6,463
